case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,comment,stacktrace,priority,severity,automation,type,tags,step_comments,case_parameter
4,"№4 Проверить отображение Главного баннера на главной странице приложения в мобильном web.","Главная страница KazanExpress.",1,Aigyl,938000,Failed,"2023-03-27 10:18:31",,,,,"Ожидаемый результат: Iphone SE2 iOS 14.6. production после переходя на главную страницу должны отображаться на баннере стрелки для пролистывания новых предложении.
Фактический результат: Iphone SE2 iOS 14.6. production после переходя на главную страницу на баннере отсутствуют стрелки для пролистывания новых предложении, как в основной версии
Ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-2](https://aigyl.atlassian.net/browse/QW-2)",,High,Critical,"Not automated",Functional,,,
5,"№5 Проверить при добавлении товара как отображается цена, промоакция в корзине в мобильном web.","Главная страница KazanExpress.",1,Aigyl,8000,Failed,"2023-03-27 10:20:03",,,,,"Ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-3](https://aigyl.atlassian.net/browse/QW-3)",,High,Major,"Not automated",Functional,,,
1,"№1 Ввести кириллицу в поля «Фамилия» , «Имя», «Отчество»","Авторизация на профиле",2,Aigyl,13186,Passed,"2023-03-27 10:20:22",,,,,,,Medium,Normal,"Not automated",Functional,,,
2,"№2 Ввести латиницей в поля «Фамилия» , «Имя», «Отчество»","Авторизация на профиле",2,Aigyl,4109,Passed,"2023-03-27 10:20:28",,,,,,,Medium,Normal,"Not automated",Functional,,,
3,"№3 Ввести цифры(123456789) в поля «Фамилия» , «Имя», «Отчество»","Авторизация на профиле",2,Aigyl,28000,Failed,"2023-03-27 10:21:59",,,,,"Ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-1](https://aigyl.atlassian.net/browse/QW-1)",,Medium,Major,"Not automated",Functional,,,
10,"11. Повторная авторизация после логаута","Авторизация на профиле",2,Aigyl,73000,Failed,"2023-03-27 10:24:12",,,,,"ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-7](https://aigyl.atlassian.net/browse/QW-7)",,High,Major,"Not automated",Functional,,,
6,"№6 Отображение баннера «Цена на товар изменилась»",Товары,3,Aigyl,63000,Failed,"2023-03-27 10:26:07",,,,,"ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-11](https://aigyl.atlassian.net/browse/QW-11)",,High,Major,"Not automated",Functional,,,
7,"№7 Изменить наименование товара",Товары,3,Aigyl,38144,Passed,"2023-03-27 10:26:52",,,,,,,High,Major,"Not automated",Other,,,
8,"9 Успешный выход из аккаунта","Выход из профиля",4,Aigyl,1019000,Failed,"2023-03-27 10:28:29",,,,,"Ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-5](https://aigyl.atlassian.net/browse/QW-5)",,Medium,Major,"Not automated",Functional,,,
9,"10 Ошибка при логауте","Выход из профиля",4,Aigyl,6000,Failed,"2023-03-27 10:29:27",,,,,"Ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-6](https://aigyl.atlassian.net/browse/QW-6)",,High,Major,"Not automated",Functional,,,
11,"11. Отображение значка для людей с ограниченными зрительными/слуховыми возможностями.",Аналитика,5,Aigyl,72000,Failed,"2023-03-27 10:30:53",,,,,"Ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-8](https://aigyl.atlassian.net/browse/QW-8)",,High,Critical,"Not automated",Functional,,,
12,"12. Отображение инструмента для смены языка web-приложения.",Аналитика,5,Aigyl,5000,Failed,"2023-03-27 10:32:05",,,,,"Ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-9](https://aigyl.atlassian.net/browse/QW-9)",,High,Critical,"Not automated",Functional,,,
13,"13. Отображение баннера основного экрана",Аналитика,5,Aigyl,65000,Failed,"2023-03-27 10:33:26",,,,,"Ссылка на баг-репорт [https://aigyl.atlassian.net/browse/QW-10](https://aigyl.atlassian.net/browse/QW-10)",,Medium,Major,"Not automated",Functional,,,
